ticket_id,customer_id,issue_category,description,sentiment,priority
TKT-375265,C00317,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-519564,C00317,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-210324,C00317,Performance,"Terrible experience, not working as expected.",Neutral,High
TKT-370450,C00317,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-498061,C00318,Feature Request,Just a general question about features.,Neutral,High
TKT-602842,C00319,Feature Request,Just a general question about features.,Neutral,Low
TKT-398673,C00319,Performance,Just a general question about features.,Neutral,Low
TKT-325091,C00320,Account,Just a general question about features.,Positive,Low
TKT-717564,C00320,Technical,Need help setting up SSO.,Neutral,High
TKT-531301,C00320,Account,Just a general question about features.,Positive,Low
TKT-882560,C00321,Security,Just a general question about features.,Negative,Medium
TKT-993443,C00321,Technical,How do I reset my password?,Negative,Medium
TKT-158764,C00322,Technical,Need help setting up SSO.,Neutral,High
TKT-620614,C00322,Technical,How do I reset my password?,Positive,Low
TKT-913340,C00322,Account,Just a general question about features.,Neutral,Medium
TKT-680301,C00323,Feature Request,Just a general question about features.,Negative,High
TKT-199011,C00325,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-427906,C00325,Billing,Why did my price go up?,Negative,Low
TKT-100529,C00325,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-207649,C00325,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-941582,C00325,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-472175,C00326,Technical,"System is always down, very frustrating.",Negative,High
TKT-451834,C00326,Technical,Can't log in since yesterday.,Negative,High
TKT-833709,C00326,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-985151,C00326,Billing,I was overcharged on my last invoice.,Negative,Medium
TKT-565583,C00326,Integration,"Terrible experience, not working as expected.",Neutral,High
TKT-163104,C00326,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-533936,C00328,Billing,Can you send me last month's receipt?,Positive,Low
TKT-171397,C00329,Technical,How do I reset my password?,Neutral,Medium
TKT-381628,C00331,Integration,Just a general question about features.,Positive,Low
TKT-632852,C00331,Account,Just a general question about features.,Neutral,Low
TKT-854164,C00332,Performance,Just a general question about features.,Neutral,High
TKT-137004,C00332,Performance,Just a general question about features.,Neutral,Low
TKT-963016,C00333,Performance,Just a general question about features.,Neutral,Low
TKT-367461,C00334,Technical,Your API is too slow and throwing 500 errors.,Negative,High
TKT-376386,C00334,Technical,Can't log in since yesterday.,Negative,Low
TKT-457369,C00334,Account,"Terrible experience, not working as expected.",Negative,High
TKT-407828,C00334,Billing,I was overcharged on my last invoice.,Neutral,Low
TKT-699988,C00334,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-961466,C00334,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-666984,C00335,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-549366,C00335,Billing,I was overcharged on my last invoice.,Negative,Medium
TKT-708136,C00335,Technical,Your API is too slow and throwing 500 errors.,Negative,Medium
TKT-633950,C00335,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-495122,C00335,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-900154,C00337,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-737821,C00337,Billing,"Cancel my subscription, too expensive.",Negative,High
TKT-581381,C00337,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-607799,C00337,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-593729,C00337,Security,"Terrible experience, not working as expected.",Negative,High
TKT-241109,C00338,Feature Request,Just a general question about features.,Neutral,High
TKT-124652,C00338,Integration,Just a general question about features.,Neutral,Low
TKT-711394,C00338,Billing,Update credit card info.,Neutral,High
TKT-364584,C00339,Technical,"System is always down, very frustrating.",Neutral,High
TKT-721945,C00339,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-600853,C00339,Technical,Your API is too slow and throwing 500 errors.,Negative,High
TKT-322765,C00339,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-402130,C00339,Billing,I was overcharged on my last invoice.,Negative,Medium
TKT-955084,C00339,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-879465,C00341,Security,Just a general question about features.,Positive,Low
TKT-243560,C00341,Performance,Just a general question about features.,Negative,Low
TKT-661240,C00341,Billing,Update credit card info.,Neutral,Medium
TKT-107926,C00342,Security,Just a general question about features.,Positive,Low
TKT-329375,C00343,Account,Just a general question about features.,Positive,Medium
TKT-171858,C00343,Security,Just a general question about features.,Positive,Medium
TKT-771040,C00343,Technical,Need help setting up SSO.,Positive,Low
TKT-997163,C00343,Billing,Good service.,Neutral,Low
TKT-405799,C00343,Technical,Works great but I have a question on API limits.,Neutral,Low
TKT-188774,C00344,Technical,Need help setting up SSO.,Positive,Low
TKT-826815,C00344,Feature Request,Just a general question about features.,Neutral,Medium
TKT-672455,C00345,Account,Just a general question about features.,Positive,Low
TKT-621981,C00345,Billing,Good service.,Neutral,Low
TKT-124334,C00345,Performance,Just a general question about features.,Neutral,Low
TKT-630726,C00346,Security,Just a general question about features.,Neutral,Medium
TKT-938406,C00346,Technical,How do I reset my password?,Positive,Low
TKT-841706,C00346,Billing,Update credit card info.,Positive,Low
TKT-701197,C00346,Billing,Update credit card info.,Positive,Medium
TKT-814794,C00347,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-340375,C00347,Billing,I was overcharged on my last invoice.,Neutral,Low
TKT-277765,C00347,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-421299,C00347,Technical,Your API is too slow and throwing 500 errors.,Neutral,Medium
TKT-593577,C00347,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-699526,C00348,Performance,Just a general question about features.,Neutral,Low
TKT-107832,C00349,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-528640,C00349,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-329494,C00349,Billing,Why did my price go up?,Negative,Low
TKT-796367,C00349,Integration,"Terrible experience, not working as expected.",Neutral,Low
TKT-843183,C00349,Billing,Why did my price go up?,Negative,Low
TKT-431828,C00349,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-974976,C00350,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-600427,C00350,Technical,"System is always down, very frustrating.",Neutral,Medium
TKT-287296,C00350,Billing,Why did my price go up?,Negative,High
TKT-303827,C00350,Technical,"System is always down, very frustrating.",Negative,Medium
TKT-730881,C00351,Account,Just a general question about features.,Neutral,Low
TKT-922161,C00351,Performance,Just a general question about features.,Positive,Low
TKT-544665,C00351,Feature Request,Just a general question about features.,Negative,Low
TKT-735344,C00351,Billing,Good service.,Neutral,Medium
TKT-962278,C00352,Account,Just a general question about features.,Positive,Medium
TKT-885368,C00353,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-468320,C00353,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-826723,C00353,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-808520,C00353,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-155673,C00354,Feature Request,"Terrible experience, not working as expected.",Neutral,Low
TKT-795719,C00354,Performance,"Terrible experience, not working as expected.",Neutral,Medium
TKT-994869,C00354,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-112607,C00354,Security,"Terrible experience, not working as expected.",Neutral,Low
TKT-859768,C00354,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-241773,C00354,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-649190,C00354,Security,"Terrible experience, not working as expected.",Negative,High
TKT-445511,C00355,Technical,How do I reset my password?,Neutral,High
TKT-966956,C00355,Technical,Works great but I have a question on API limits.,Neutral,High
TKT-977924,C00356,Integration,Just a general question about features.,Neutral,Low
TKT-502553,C00357,Billing,Why did my price go up?,Negative,High
TKT-614803,C00357,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-299333,C00357,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-948607,C00357,Billing,"Cancel my subscription, too expensive.",Neutral,High
TKT-300002,C00357,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-560815,C00357,Billing,Why did my price go up?,Neutral,Medium
TKT-247117,C00357,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-710126,C00357,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-363319,C00358,Billing,Can you send me last month's receipt?,Positive,High
TKT-123292,C00358,Account,Just a general question about features.,Neutral,High
TKT-461157,C00360,Performance,Just a general question about features.,Positive,High
TKT-431472,C00361,Security,Just a general question about features.,Neutral,Medium
TKT-347009,C00362,Billing,Good service.,Neutral,Medium
TKT-780763,C00362,Performance,Just a general question about features.,Neutral,Medium
TKT-903908,C00363,Performance,Just a general question about features.,Negative,Low
TKT-587437,C00363,Performance,Just a general question about features.,Neutral,Low
TKT-503043,C00363,Account,Just a general question about features.,Neutral,Medium
TKT-759217,C00364,Feature Request,Just a general question about features.,Positive,Low
TKT-389058,C00365,Security,Just a general question about features.,Positive,Medium
TKT-369406,C00366,Security,Just a general question about features.,Neutral,Medium
TKT-656392,C00366,Security,Just a general question about features.,Neutral,Medium
TKT-199495,C00366,Feature Request,Just a general question about features.,Neutral,Low
TKT-969868,C00366,Feature Request,Just a general question about features.,Positive,Low
TKT-260530,C00366,Security,Just a general question about features.,Neutral,Medium
TKT-930823,C00367,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-616706,C00367,Integration,"Terrible experience, not working as expected.",Neutral,Low
TKT-114811,C00367,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-606891,C00367,Performance,"Terrible experience, not working as expected.",Neutral,Medium
TKT-935700,C00367,Technical,"System is always down, very frustrating.",Negative,Medium
TKT-741205,C00367,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-436467,C00368,Performance,Just a general question about features.,Neutral,High
TKT-754921,C00369,Performance,Just a general question about features.,Negative,Low
TKT-638188,C00369,Integration,Just a general question about features.,Positive,Low
TKT-964451,C00370,Security,Just a general question about features.,Neutral,High
TKT-214248,C00370,Feature Request,Just a general question about features.,Positive,Low
TKT-160825,C00371,Security,Just a general question about features.,Neutral,Low
TKT-825642,C00371,Billing,Can you send me last month's receipt?,Neutral,Medium
TKT-197654,C00372,Feature Request,Just a general question about features.,Negative,High
TKT-674564,C00372,Integration,Just a general question about features.,Positive,Low
TKT-914825,C00372,Security,Just a general question about features.,Positive,High
TKT-718444,C00373,Feature Request,Just a general question about features.,Neutral,Low
TKT-947008,C00373,Technical,Works great but I have a question on API limits.,Positive,Medium
TKT-914332,C00374,Performance,Just a general question about features.,Positive,Medium
TKT-849593,C00375,Feature Request,Just a general question about features.,Neutral,Medium
TKT-263492,C00376,Security,Just a general question about features.,Neutral,Low
TKT-917646,C00376,Security,Just a general question about features.,Positive,Low
TKT-582990,C00377,Integration,Just a general question about features.,Positive,Low
TKT-943379,C00377,Feature Request,Just a general question about features.,Positive,Low
TKT-473452,C00377,Integration,Just a general question about features.,Positive,High
TKT-898084,C00377,Security,Just a general question about features.,Neutral,Low
TKT-697862,C00378,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-733560,C00378,Technical,"System is always down, very frustrating.",Neutral,Low
TKT-963297,C00378,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-402623,C00378,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-549584,C00379,Feature Request,Just a general question about features.,Positive,Low
TKT-226270,C00379,Feature Request,Just a general question about features.,Positive,High
TKT-318249,C00380,Technical,Need help setting up SSO.,Neutral,Low
TKT-127445,C00380,Integration,Just a general question about features.,Positive,Low
TKT-264240,C00381,Integration,"Terrible experience, not working as expected.",Neutral,High
TKT-867785,C00381,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-703247,C00381,Billing,Why did my price go up?,Negative,Medium
TKT-720799,C00381,Technical,Can't log in since yesterday.,Negative,Low
TKT-448450,C00381,Feature Request,"Terrible experience, not working as expected.",Negative,High
TKT-692106,C00381,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-170407,C00381,Feature Request,"Terrible experience, not working as expected.",Neutral,Low
TKT-270272,C00381,Billing,Why did my price go up?,Negative,Medium
TKT-929736,C00382,Security,Just a general question about features.,Neutral,Low
TKT-362819,C00383,Billing,Can you send me last month's receipt?,Neutral,High
TKT-369372,C00384,Feature Request,Just a general question about features.,Positive,Low
TKT-970700,C00384,Feature Request,Just a general question about features.,Neutral,Low
TKT-857165,C00385,Integration,Just a general question about features.,Negative,Low
TKT-897314,C00385,Integration,Just a general question about features.,Neutral,Low
TKT-264149,C00385,Integration,Just a general question about features.,Negative,High
TKT-830911,C00386,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-999327,C00386,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-951187,C00386,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-237381,C00386,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-373196,C00386,Security,"Terrible experience, not working as expected.",Negative,High
TKT-402560,C00386,Technical,"System is always down, very frustrating.",Negative,Low
TKT-678960,C00387,Performance,Just a general question about features.,Negative,High
TKT-487620,C00387,Account,Just a general question about features.,Positive,Low
TKT-353835,C00387,Billing,Update credit card info.,Negative,High
TKT-198552,C00388,Account,Just a general question about features.,Neutral,Low
TKT-898187,C00388,Account,Just a general question about features.,Positive,Medium
TKT-266319,C00388,Performance,Just a general question about features.,Neutral,Low
TKT-513795,C00389,Account,Just a general question about features.,Positive,Medium
TKT-271347,C00389,Integration,Just a general question about features.,Positive,Low
TKT-614732,C00390,Billing,Can you send me last month's receipt?,Positive,Low
TKT-373842,C00393,Performance,Just a general question about features.,Positive,Low
TKT-131979,C00394,Technical,Need help setting up SSO.,Neutral,High
TKT-302728,C00395,Technical,How do I reset my password?,Neutral,Medium
TKT-427160,C00396,Account,Just a general question about features.,Neutral,Medium
TKT-256462,C00397,Billing,Can you send me last month's receipt?,Neutral,Low
TKT-465340,C00397,Performance,Just a general question about features.,Positive,Low
TKT-353138,C00398,Security,Just a general question about features.,Positive,Medium
TKT-791663,C00398,Technical,How do I reset my password?,Positive,Medium
TKT-798167,C00398,Technical,Need help setting up SSO.,Neutral,Medium
TKT-681310,C00398,Billing,Can you send me last month's receipt?,Neutral,Low
TKT-482641,C00399,Performance,Just a general question about features.,Positive,Low
TKT-902243,C00400,Performance,Just a general question about features.,Positive,Low
TKT-642545,C00400,Feature Request,Just a general question about features.,Neutral,Low
TKT-857944,C00400,Technical,Works great but I have a question on API limits.,Neutral,Low
TKT-226926,C00400,Security,Just a general question about features.,Positive,Low
TKT-337060,C00401,Technical,Works great but I have a question on API limits.,Positive,Medium
TKT-573762,C00401,Billing,Good service.,Neutral,Medium
TKT-106043,C00401,Security,Just a general question about features.,Neutral,High
TKT-704455,C00401,Performance,Just a general question about features.,Positive,Low
TKT-738517,C00402,Integration,Just a general question about features.,Neutral,Medium
TKT-598779,C00402,Technical,Works great but I have a question on API limits.,Neutral,Medium
TKT-191491,C00402,Feature Request,Just a general question about features.,Positive,High
TKT-949136,C00403,Performance,"Terrible experience, not working as expected.",Neutral,Medium
TKT-332516,C00403,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-994575,C00403,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-965115,C00403,Account,"Terrible experience, not working as expected.",Negative,High
TKT-488815,C00403,Technical,Your API is too slow and throwing 500 errors.,Negative,Medium
TKT-185704,C00403,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-719979,C00404,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-537209,C00404,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-672910,C00404,Technical,Can't log in since yesterday.,Negative,Low
TKT-719106,C00404,Technical,Can't log in since yesterday.,Neutral,Low
TKT-637473,C00404,Technical,"System is always down, very frustrating.",Negative,Low
TKT-599680,C00404,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-162699,C00405,Integration,Just a general question about features.,Neutral,High
TKT-137154,C00406,Billing,Update credit card info.,Positive,Medium
TKT-443588,C00406,Security,Just a general question about features.,Positive,Medium
TKT-158937,C00407,Security,Just a general question about features.,Neutral,Medium
TKT-671894,C00407,Technical,Need help setting up SSO.,Positive,High
TKT-557415,C00407,Technical,Works great but I have a question on API limits.,Neutral,High
TKT-812682,C00408,Feature Request,Just a general question about features.,Neutral,Low
TKT-724728,C00408,Integration,Just a general question about features.,Positive,Low
TKT-659390,C00408,Billing,Good service.,Positive,Medium
TKT-616359,C00409,Security,Just a general question about features.,Negative,High
TKT-293062,C00409,Performance,Just a general question about features.,Neutral,Low
TKT-369340,C00410,Security,Just a general question about features.,Neutral,Medium
TKT-919917,C00411,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-953848,C00411,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-538147,C00411,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-968877,C00411,Feature Request,"Terrible experience, not working as expected.",Neutral,Medium
TKT-906111,C00412,Performance,Just a general question about features.,Neutral,Low
TKT-135277,C00412,Security,Just a general question about features.,Negative,Low
TKT-326246,C00412,Billing,Good service.,Positive,Low
TKT-446121,C00412,Feature Request,Just a general question about features.,Negative,Low
TKT-753134,C00413,Technical,How do I reset my password?,Neutral,Medium
TKT-142267,C00414,Billing,I was overcharged on my last invoice.,Negative,Low
TKT-929744,C00414,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-538151,C00414,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-116457,C00414,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-507772,C00414,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-395830,C00415,Performance,Just a general question about features.,Neutral,Medium
TKT-789132,C00415,Performance,Just a general question about features.,Positive,Medium
TKT-159673,C00415,Security,Just a general question about features.,Neutral,Low
TKT-326308,C00416,Security,Just a general question about features.,Positive,High
TKT-729244,C00416,Security,Just a general question about features.,Positive,Medium
TKT-298044,C00417,Integration,Just a general question about features.,Negative,Low
TKT-446342,C00417,Account,Just a general question about features.,Neutral,Low
TKT-869450,C00417,Technical,How do I reset my password?,Positive,High
TKT-290643,C00417,Integration,Just a general question about features.,Positive,High
TKT-386255,C00418,Feature Request,Just a general question about features.,Positive,Low
TKT-600269,C00418,Account,Just a general question about features.,Positive,High
TKT-570529,C00418,Account,Just a general question about features.,Positive,Low
TKT-527665,C00418,Security,Just a general question about features.,Neutral,Medium
TKT-973914,C00418,Security,Just a general question about features.,Neutral,Medium
TKT-964893,C00419,Billing,Can you send me last month's receipt?,Positive,Low
TKT-271274,C00419,Security,Just a general question about features.,Negative,Low
TKT-507505,C00420,Performance,Just a general question about features.,Neutral,Low
TKT-388666,C00420,Integration,Just a general question about features.,Neutral,Low
TKT-730721,C00421,Performance,Just a general question about features.,Neutral,Low
TKT-599771,C00422,Billing,Good service.,Positive,Medium
TKT-693871,C00422,Account,Just a general question about features.,Positive,Medium
TKT-829645,C00422,Account,Just a general question about features.,Positive,Low
TKT-214967,C00423,Account,Just a general question about features.,Neutral,Low
TKT-912272,C00423,Technical,Works great but I have a question on API limits.,Neutral,Low
TKT-269462,C00424,Technical,Works great but I have a question on API limits.,Neutral,Medium
TKT-443282,C00426,Feature Request,Just a general question about features.,Positive,High
TKT-326762,C00427,Account,Just a general question about features.,Positive,Low
TKT-389786,C00428,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-738954,C00428,Billing,Why did my price go up?,Neutral,Medium
TKT-748659,C00428,Account,"Terrible experience, not working as expected.",Negative,High
TKT-295549,C00429,Billing,Update credit card info.,Negative,Medium
TKT-101134,C00430,Billing,Update credit card info.,Neutral,Medium
TKT-878711,C00431,Billing,Update credit card info.,Positive,Medium
TKT-969207,C00431,Security,Just a general question about features.,Neutral,Low
TKT-796741,C00432,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-802736,C00432,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-866271,C00432,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-601940,C00433,Account,Just a general question about features.,Neutral,High
TKT-899964,C00434,Feature Request,Just a general question about features.,Negative,Medium
TKT-932625,C00434,Account,Just a general question about features.,Neutral,Low
TKT-871240,C00434,Performance,Just a general question about features.,Neutral,Medium
TKT-267045,C00435,Performance,Just a general question about features.,Neutral,High
TKT-368374,C00436,Account,Just a general question about features.,Positive,High
TKT-798051,C00436,Performance,Just a general question about features.,Positive,Low
TKT-461284,C00436,Performance,Just a general question about features.,Neutral,Medium
TKT-885905,C00436,Security,Just a general question about features.,Negative,High
TKT-235042,C00437,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-705342,C00437,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-812936,C00437,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-933287,C00437,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-259846,C00437,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-988644,C00437,Technical,"System is always down, very frustrating.",Neutral,Medium
TKT-137688,C00437,Billing,"Cancel my subscription, too expensive.",Neutral,High
TKT-223210,C00438,Integration,Just a general question about features.,Neutral,Low
TKT-211293,C00438,Performance,Just a general question about features.,Positive,Low
TKT-583708,C00439,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-339533,C00439,Security,"Terrible experience, not working as expected.",Neutral,Low
TKT-965456,C00439,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-172289,C00439,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-214096,C00440,Integration,Just a general question about features.,Neutral,High
TKT-856762,C00441,Feature Request,Just a general question about features.,Neutral,Low
TKT-306914,C00442,Feature Request,Just a general question about features.,Positive,Low
TKT-271179,C00443,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-616987,C00443,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-472943,C00443,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-302764,C00443,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-973188,C00443,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-614108,C00443,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-801763,C00444,Performance,Just a general question about features.,Positive,Low
TKT-510199,C00444,Performance,Just a general question about features.,Negative,Medium
TKT-534267,C00445,Integration,Just a general question about features.,Neutral,Medium
TKT-799650,C00446,Security,Just a general question about features.,Neutral,Low
TKT-300226,C00447,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-101697,C00447,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-547730,C00447,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-416269,C00447,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-663132,C00447,Technical,Can't log in since yesterday.,Negative,Medium
TKT-946103,C00448,Performance,Just a general question about features.,Positive,Low
TKT-751192,C00449,Integration,Just a general question about features.,Positive,Medium
TKT-522442,C00449,Performance,Just a general question about features.,Neutral,High
TKT-540235,C00450,Performance,Just a general question about features.,Positive,Low
TKT-219381,C00450,Integration,Just a general question about features.,Positive,Low
TKT-816007,C00450,Billing,Update credit card info.,Negative,Low
TKT-387122,C00450,Feature Request,Just a general question about features.,Neutral,Low
TKT-837946,C00451,Feature Request,Just a general question about features.,Neutral,Medium
TKT-851910,C00453,Billing,Update credit card info.,Neutral,Medium
TKT-409710,C00454,Account,"Terrible experience, not working as expected.",Negative,High
TKT-576422,C00454,Account,"Terrible experience, not working as expected.",Neutral,Low
TKT-426932,C00454,Security,"Terrible experience, not working as expected.",Negative,High
TKT-898656,C00454,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-747254,C00454,Security,"Terrible experience, not working as expected.",Negative,High
TKT-677814,C00454,Account,"Terrible experience, not working as expected.",Negative,Low
TKT-820211,C00454,Billing,"Cancel my subscription, too expensive.",Neutral,High
TKT-596848,C00454,Integration,"Terrible experience, not working as expected.",Neutral,Low
TKT-156958,C00455,Security,Just a general question about features.,Positive,High
TKT-870528,C00455,Integration,Just a general question about features.,Neutral,Low
TKT-998510,C00455,Integration,Just a general question about features.,Neutral,Low
TKT-221046,C00456,Integration,Just a general question about features.,Negative,Medium
TKT-261324,C00456,Security,Just a general question about features.,Neutral,Low
TKT-507283,C00456,Security,Just a general question about features.,Negative,High
TKT-296681,C00456,Integration,Just a general question about features.,Positive,Low
TKT-736027,C00457,Security,Just a general question about features.,Positive,Low
TKT-259089,C00457,Performance,Just a general question about features.,Negative,High
TKT-220110,C00458,Technical,How do I reset my password?,Negative,Low
TKT-737457,C00458,Integration,Just a general question about features.,Positive,Medium
TKT-289685,C00458,Integration,Just a general question about features.,Neutral,Medium
TKT-262870,C00459,Technical,How do I reset my password?,Neutral,Medium
TKT-813528,C00459,Performance,Just a general question about features.,Positive,Low
TKT-760776,C00460,Integration,Just a general question about features.,Neutral,Medium
TKT-883483,C00460,Integration,Just a general question about features.,Neutral,High
TKT-582169,C00460,Billing,Can you send me last month's receipt?,Neutral,Medium
TKT-613611,C00461,Security,Just a general question about features.,Neutral,Low
TKT-262643,C00461,Account,Just a general question about features.,Negative,Medium
TKT-591313,C00461,Security,Just a general question about features.,Positive,Low
TKT-942167,C00462,Account,Just a general question about features.,Positive,Low
TKT-109417,C00462,Feature Request,Just a general question about features.,Negative,Medium
TKT-405652,C00463,Billing,Why did my price go up?,Neutral,Medium
TKT-704395,C00463,Security,"Terrible experience, not working as expected.",Negative,Low
TKT-345280,C00463,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-893729,C00464,Account,Just a general question about features.,Positive,Low
TKT-908878,C00464,Billing,Can you send me last month's receipt?,Neutral,Low
TKT-868651,C00464,Feature Request,Just a general question about features.,Neutral,High
TKT-516464,C00465,Integration,Just a general question about features.,Positive,Medium
TKT-155818,C00466,Security,Just a general question about features.,Positive,Medium
TKT-358667,C00467,Technical,Need help setting up SSO.,Neutral,Medium
TKT-896210,C00467,Integration,Just a general question about features.,Neutral,High
TKT-564872,C00467,Account,Just a general question about features.,Neutral,Low
TKT-396578,C00468,Security,Just a general question about features.,Neutral,High
TKT-684722,C00468,Performance,Just a general question about features.,Positive,Low
TKT-784973,C00468,Billing,Can you send me last month's receipt?,Neutral,High
TKT-922569,C00468,Performance,Just a general question about features.,Positive,Low
TKT-394684,C00468,Feature Request,Just a general question about features.,Negative,Low
TKT-854160,C00469,Performance,Just a general question about features.,Positive,Low
TKT-116803,C00469,Security,Just a general question about features.,Positive,Low
TKT-713055,C00470,Billing,Good service.,Neutral,Low
TKT-886821,C00470,Integration,Just a general question about features.,Positive,Low
TKT-892376,C00470,Performance,Just a general question about features.,Positive,Low
TKT-152311,C00470,Performance,Just a general question about features.,Neutral,Medium
TKT-382354,C00470,Feature Request,Just a general question about features.,Negative,Low
TKT-316243,C00471,Billing,"Cancel my subscription, too expensive.",Negative,Medium
TKT-547312,C00471,Performance,"Terrible experience, not working as expected.",Negative,High
TKT-147470,C00471,Billing,Why did my price go up?,Negative,High
TKT-519828,C00471,Integration,"Terrible experience, not working as expected.",Negative,Medium
TKT-635237,C00471,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-439802,C00472,Account,Just a general question about features.,Positive,Low
TKT-683569,C00472,Billing,Can you send me last month's receipt?,Neutral,Medium
TKT-631072,C00472,Feature Request,Just a general question about features.,Neutral,Low
TKT-854111,C00473,Security,Just a general question about features.,Positive,Low
TKT-308138,C00473,Technical,Need help setting up SSO.,Positive,Low
TKT-548717,C00474,Account,Just a general question about features.,Negative,Medium
TKT-193931,C00474,Performance,Just a general question about features.,Positive,Low
TKT-801083,C00474,Billing,Good service.,Positive,Medium
TKT-576648,C00475,Account,Just a general question about features.,Positive,Low
TKT-336220,C00476,Security,Just a general question about features.,Positive,Low
